Entity ID,Source path,Service class,Method name,HTTP method,Path,Produces,Consumes,Framework,Method signature
endpoint:io.moderne.organizations.OrganizationController#getOrganizations(ServerHttpResponse),src/main/java/io/moderne/organizations/OrganizationController.java,io.moderne.organizations.OrganizationController,getOrganizations,GET,/organizations,,,Spring,"io.moderne.organizations.OrganizationController{name=getOrganizations,return=reactor.core.publisher.Flux<org.springframework.core.io.buffer.DataBuffer>,parameters=[org.springframework.http.server.reactive.ServerHttpResponse]}"
endpoint:io.moderne.organizations.OrganizationController#retrieveDevCenter(ServerHttpResponse),src/main/java/io/moderne/organizations/OrganizationController.java,io.moderne.organizations.OrganizationController,retrieveDevCenter,GET,/devcenters,,,Spring,"io.moderne.organizations.OrganizationController{name=retrieveDevCenter,return=reactor.core.publisher.Flux<org.springframework.core.io.buffer.DataBuffer>,parameters=[org.springframework.http.server.reactive.ServerHttpResponse]}"
endpoint:io.moderne.organizations.OrganizationMetricController#scrape(),src/main/java/io/moderne/organizations/OrganizationMetricController.java,io.moderne.organizations.OrganizationMetricController,scrape,GET,/metrics/prometheus,,,Spring,"io.moderne.organizations.OrganizationMetricController{name=scrape,return=reactor.core.publisher.Mono<java.lang.String>,parameters=[]}"
